,answer
0,'매우좋음'
1,매우좋음
2,'보통'
3,매우좋음
4,매우좋음
5,매우좋음
6,'좋음'
7,'매우좋음'
8,'보통'
9,'매우좋음'
10,'좋음'
11,'매우좋음'
12,매우좋음
13,'좋음'
14,'매우좋음'
15,'매우좋음'
16,'매우좋음'
17,'매우좋음'
18,'매우좋음'
19,'매우좋음'
20,'매우좋음'
21,'매우좋음'
22,매우좋음
23,매우좋음
24,매우좋음
25,매우좋음
26,'매우좋음'
27,'매우좋음'
28,'좋음'
29,'나쁨'
30,'좋음'
31,'매우좋음'
32,'매우좋음'
33,매우좋음
34,'보통'
35,'보통'
36,'매우좋음'
37,'좋음'
38,'매우좋음'
39,'매우좋음'
40,'매우좋음'
41,좋음
42,'매우좋음'
43,매우좋음
44,'매우좋음'
45,'매우좋음'
46,매우좋음
47,'좋음'
48,'매우좋음'
49,'매우좋음'
50,'매우좋음'
51,'매우좋음'
52,'매우좋음'
53,'좋음'
54,좋음
55,'좋음'
56,'매우좋음'
57,'매우좋음'
58,'보통'
59,'매우좋음'
60,'좋음'
61,'매우좋음'
62,'보통'
63,매우좋음
64,'매우좋음'
65,'매우좋음'
66,'좋음'
67,매우좋음
68,'나쁨'
69,'매우좋음'
70,'매우좋음'
71,'매우좋음'
72,'매우좋음'
73,'매우좋음'
74,'좋음'
75,'매우좋음'
76,매우좋음
77,'매우좋음'
78,'매우좋음'
79,'매우좋음'
80,'매우좋음'
81,매우좋음
82,'매우좋음'
83,'매우좋음'
84,매우좋음
85,매우좋음
86,'좋음'
87,'매우좋음'
88,'좋음'
89,'매우좋음'
90,'매우나쁨'
91,매우좋음
92,'좋음'
93,매우좋음
94,'매우좋음'
95,'매우좋음'
96,'매우좋음'
97,매우좋음
98,'매우좋음'
99,'매우좋음'
100,'매우좋음'
101,'매우좋음'
102,'매우좋음'
103,'매우좋음'
104,'좋음'
105,'좋음'
106,'매우좋음'
107,매우좋음
108,매우좋음
109,'매우좋음'
110,'매우좋음'
111,'매우좋음'
112,매우좋음
113,'매우좋음'
114,매우좋음
115,'매우좋음'
116,매우좋음
117,'매우좋음'
118,매우좋음
119,매우좋음
120,'매우좋음'
121,'좋음'
122,'좋음'
123,'보통'
124,'매우좋음'
125,'매우좋음'
126,'매우좋음'
127,'매우좋음'
128,매우좋음
129,매우좋음
130,매우좋음
131,좋음
132,매우좋음
133,'매우좋음'
134,매우좋음
135,매우좋음
136,매우좋음
137,매우좋음
138,좋음
139,매우좋음
140,매우좋음
141,매우좋음
142,'좋음'
143,'매우좋음'
144,'매우좋음'
145,'좋음'
146,매우좋음
147,매우좋음
148,'매우좋음'
149,매우좋음
150,매우좋음
151,매우좋음
152,'매우좋음'
153,'매우좋음'
154,'좋음'
155,'매우좋음'
156,매우좋음
157,'매우좋음'
158,'매우좋음'
159,'매우좋음'
160,'좋음'
161,'좋음'
162,'좋음'
163,좋음
164,매우좋음
165,매우좋음
166,매우좋음
167,매우좋음
168,'매우좋음'
169,'매우좋음'
170,'매우좋음'
171,매우좋음
172,매우좋음
173,매우좋음
174,매우좋음
175,매우좋음
176,매우좋음
177,매우좋음
178,매우좋음
179,매우좋음
180,매우좋음
181,매우좋음
182,'매우좋음'
183,매우좋음
184,'매우좋음'
185,'매우좋음'
186,매우좋음
187,'매우좋음'
188,'매우좋음'
189,매우좋음
190,'좋음'
191,매우좋음
192,매우좋음
193,매우좋음
194,매우좋음
195,'매우좋음'
196,'매우좋음'
197,'매우좋음'
198,매우좋음
199,매우좋음
200,'매우좋음'
201,'매우좋음'
202,매우좋음
203,'매우좋음'
204,'매우좋음'
205,'매우좋음'
206,'매우좋음'
207,매우좋음
208,'나쁨'
209,'매우좋음'
210,'나쁨'
211,매우좋음
212,'매우좋음'
213,좋음
214,'좋음'
215,'매우좋음'
216,'매우좋음'
217,'매우좋음'
218,매우좋음
219,'매우좋음'
220,'보통'
221,매우좋음
222,매우좋음
223,'매우좋음'
224,매우좋음
225,매우좋음
226,매우좋음
227,매우좋음
228,'매우좋음'
229,'매우좋음'
230,'매우좋음'
231,매우좋음
232,좋음
233,'좋음'
234,'매우좋음'
235,매우좋음
236,'매우좋음'
237,'매우좋음'
238,매우좋음
239,'매우좋음'
240,'매우좋음'
241,매우좋음
242,'매우좋음'
243,매우좋음
244,매우좋음
245,매우좋음
246,'매우좋음'
247,매우좋음
248,좋음
249,좋음
250,좋음
251,매우좋음
252,'매우좋음'
253,'좋음'
254,'매우좋음'
255,'좋음'
256,'매우좋음'
257,'좋음'
258,'매우좋음'
259,매우좋음
260,매우좋음
261,'매우좋음'
262,매우좋음
263,매우좋음
264,'매우좋음'
265,매우좋음
266,'매우좋음'
267,매우좋음
268,'매우좋음'
269,'매우좋음'
270,매우좋음
271,매우좋음
272,매우좋음
273,'매우좋음'
274,매우좋음
275,매우좋음
276,매우좋음
277,매우좋음
278,'매우좋음'
279,'매우좋음'
280,매우좋음
281,매우나쁨
282,'매우좋음'
283,'매우좋음'
284,'보통'
285,매우좋음
286,'좋음'
287,매우좋음
288,매우좋음
289,매우좋음
290,'매우좋음'
291,'매우좋음'
292,'매우좋음'
293,'매우좋음'
294,매우좋음
295,'매우좋음'
296,매우좋음
297,매우좋음
298,매우좋음
299,매우좋음
300,매우좋음
301,매우좋음
302,좋음
303,'매우나쁨'
304,'매우좋음'
305,'매우좋음'
306,'매우좋음'
307,'보통'
308,매우좋음
309,'매우좋음'
310,'보통'
311,매우좋음
312,'좋음'
313,'매우좋음'
314,'좋음'
315,'보통'
316,'좋음'
317,'보통'
318,'보통'
319,매우좋음
320,매우좋음
321,매우좋음
322,좋음
323,'나쁨'
324,매우좋음
325,매우좋음
326,'매우좋음'
327,'매우좋음'
328,매우좋음
329,매우좋음
330,매우좋음
331,'좋음'
332,매우좋음
333,매우좋음
334,'매우좋음'
335,좋음
336,매우좋음
337,매우좋음
338,매우좋음
339,매우좋음
340,매우좋음
341,나쁨
342,매우나쁨
343,매우좋음
344,'매우좋음'
345,'매우좋음'
346,매우좋음
347,매우좋음
348,'매우좋음'
