,answer
0,좋음
1,매우좋음
2,'매우좋음'
3,매우좋음
4,매우좋음
5,매우좋음
6,'매우좋음'
7,'매우좋음'
8,매우좋음
9,'좋음'
10,매우좋음
11,매우좋음
12,매우좋음
13,매우좋음
14,매우좋음
15,매우좋음
16,매우좋음
17,매우좋음
18,매우좋음
19,'좋음'
20,매우좋음
21,매우좋음
22,매우좋음
23,매우좋음
24,'좋음'
25,'매우좋음'
26,'매우좋음'
27,좋음
28,좋음
29,매우좋음
30,'보통'
31,좋음
32,매우좋음
33,매우좋음
34,매우좋음
35,매우좋음
36,좋음
37,'매우좋음'
38,매우좋음
39,좋음
40,매우좋음
41,'좋음'
42,매우좋음
43,'매우좋음'
44,매우좋음
45,매우좋음
46,좋음
47,'좋음'
48,좋음
49,매우좋음
50,매우좋음
51,'매우좋음'
52,매우좋음
53,매우좋음
54,'매우좋음'
55,매우좋음
56,매우좋음
57,매우좋음
58,'좋음'
59,매우좋음
60,매우좋음
61,매우좋음
62,매우좋음
63,매우좋음
64,매우좋음
65,'보통'
66,매우좋음
67,좋음
68,매우좋음
69,좋음
70,좋음
71,'좋음'
72,좋음
73,좋음
74,매우좋음
75,매우좋음
76,매우좋음
77,'좋음'
78,매우좋음
79,매우좋음
80,매우좋음
81,매우좋음
82,매우좋음
83,매우좋음
84,매우좋음
85,'보통'
86,매우좋음
87,좋음
88,매우좋음
89,매우좋음
90,'좋음'
91,'좋음'
92,'좋음'
93,좋음
94,매우좋음
95,매우좋음
96,매우좋음
97,'좋음'
98,'매우좋음'
99,매우좋음
100,'매우좋음'
101,매우좋음
102,'매우좋음'
103,매우좋음
104,매우좋음
105,좋음
106,매우좋음
107,매우좋음
108,좋음
109,매우좋음
110,매우좋음
111,'좋음'
112,좋음
113,'좋음'
114,'좋음'
115,'매우좋음'
116,좋음
117,좋음
118,매우좋음
119,좋음
120,좋음
121,'좋음'
122,좋음
123,매우좋음
124,'매우좋음'
125,'매우좋음'
126,좋음
127,매우좋음
128,매우좋음
129,매우좋음
130,'매우좋음'
131,매우좋음
132,매우좋음
133,좋음
134,'매우좋음'
135,매우좋음
136,매우좋음
137,매우좋음
138,매우좋음
139,'매우좋음'
140,매우좋음
141,매우좋음
142,'보통'
143,매우좋음
144,매우좋음
145,좋음
146,매우좋음
147,매우좋음
148,매우좋음
149,매우좋음
150,매우좋음
151,매우좋음
152,'매우좋음'
153,매우좋음
154,매우좋음
155,'매우좋음'
156,'좋음'
157,'매우좋음'
158,'매우좋음'
159,매우좋음
160,좋음
161,매우좋음
162,'매우좋음'
163,'좋음'
164,매우좋음
165,매우좋음
166,'매우좋음'
167,'매우좋음'
168,매우좋음
169,매우좋음
170,'매우좋음'
171,'매우좋음'
172,'좋음'
173,'매우좋음'
174,매우좋음
175,'매우좋음'
176,매우좋음
177,'좋음'
178,매우좋음
179,매우좋음
180,'좋음'
181,'보통'
182,'매우좋음'
183,좋음
184,'좋음'
185,좋음
186,매우좋음
187,좋음
188,매우좋음
189,좋음
190,매우좋음
191,'매우좋음'
192,'매우좋음'
193,매우좋음
194,'매우좋음'
195,매우좋음
196,매우좋음
197,매우좋음
198,매우좋음
199,매우좋음
200,좋음
201,매우좋음
202,'좋음'
203,'매우좋음'
204,매우좋음
205,매우좋음
206,매우좋음
207,'좋음'
208,'매우좋음'
209,'좋음'
210,'좋음'
211,'보통'
212,좋음
213,좋음
214,'매우좋음'
215,'매우좋음'
216,매우좋음
217,'보통'
218,매우좋음
219,매우좋음
220,매우좋음
221,매우좋음
222,'매우좋음'
223,매우좋음
224,'좋음'
225,매우좋음
226,좋음
227,'좋음'
228,매우좋음
229,좋음
230,매우좋음
231,매우좋음
232,보통
233,보통
234,매우좋음
235,매우좋음
236,매우좋음
237,'보통'
238,좋음
239,'좋음'
240,'매우좋음'
241,매우좋음
242,좋음
243,좋음
244,매우좋음
245,좋음
246,'좋음'
247,매우좋음
248,매우좋음
249,매우좋음
250,매우좋음
251,'좋음'
252,'매우좋음'
253,매우좋음
254,좋음
255,'매우좋음'
256,'매우좋음'
257,좋음
258,'매우좋음'
259,매우좋음
260,좋음
261,좋음
262,좋음
263,매우좋음
264,'매우좋음'
265,매우좋음
266,'매우좋음'
267,'좋음'
268,매우좋음
269,매우좋음
270,좋음
271,'좋음'
272,'매우좋음'
273,좋음
274,매우좋음
275,매우좋음
276,좋음
277,좋음
278,'좋음'
279,매우좋음
280,'매우좋음'
281,'매우좋음'
282,'보통'
283,매우좋음
284,'매우좋음'
285,좋음
286,좋음
287,매우좋음
288,좋음
289,매우좋음
290,'매우좋음'
291,매우좋음
292,매우좋음
293,매우좋음
294,매우좋음
295,매우좋음
296,매우좋음
297,매우좋음
298,매우좋음
299,좋음
300,'매우좋음'
301,'매우좋음'
302,'보통'
303,'매우좋음'
304,'매우좋음'
305,'매우좋음'
306,좋음
307,매우좋음
308,좋음
309,매우좋음
310,좋음
311,좋음
312,'매우좋음'
313,매우좋음
314,매우좋음
315,'매우좋음'
